fold,participant,query_index,family,context,donor,selected_codes,observable_only
4,2,9,tongue,WRONG,23,p23:03;p23:08;p23:12;p23:02;p23:04;p23:11;p23:15;p23:13,1
4,2,9,tongue,WRONG,27,p27:15;p27:08;p27:05;p27:02;p27:10;p27:13;p27:03;p27:06,1
4,2,9,tongue,POP,,p22:08;p30:01;p14:05;p30:14;p21:13;p22:01;p21:03;p29:03,1
4,2,9,tongue,MATCH,2,p02:01;p02:15;p02:12;p02:00;p02:03;p02:11;p02:14;p02:13,1
4,2,9,swallowing,WRONG,6,p06:07;p06:02;p06:01;p06:15;p06:14;p06:04;p06:10;p06:03,1
4,2,9,swallowing,WRONG,23,p23:00;p23:12;p23:08;p23:02;p23:04;p23:11;p23:15;p23:13,1
4,2,9,swallowing,WRONG,27,p27:12;p27:08;p27:05;p27:10;p27:02;p27:13;p27:03;p27:06,1
4,2,9,swallowing,POP,,p22:08;p30:01;p30:14;p14:05;p21:13;p22:01;p21:03;p29:03,1
4,2,9,swallowing,MATCH,2,p02:01;p02:15;p02:12;p02:00;p02:03;p02:11;p02:14;p02:13,1
4,2,9,facial_emg,WRONG,6,p06:02;p06:05;p06:01;p06:15;p06:14;p06:04;p06:10;p06:03,1
