fold_id,study,recording_key,method,eog_coherence_reduction,nonartifact_preservation,psd_distortion,covariance_distortion
study02_layout_02_heldout_03,study02,study02/study02_p11,DIFF-D11-SHUFFLED-BOTH-CAL,0.004319348379794974,0.872302308678627,0.043982334434986115,0.17726565262627045
study02_layout_02_heldout_03,study02,study02/study02_p12,RAW,0.0,1.0,0.0,0.0
study02_layout_02_heldout_03,study02,study02/study02_p12,DET-D00,0.022106551412434783,0.7449714243412018,0.11646925657987595,0.26715460916443107
study02_layout_02_heldout_03,study02,study02/study02_p12,DET-D10,0.02379633911914425,0.751569926738739,0.11468355357646942,0.26340007146018446
study02_layout_02_heldout_03,study02,study02/study02_p12,DET-D01,0.02300368259602692,0.6416783332824707,0.10315125435590744,0.2990838622079743
study02_layout_02_heldout_03,study02,study02/study02_p12,DET-D11,0.02564809381874511,0.6361313164234161,0.11217791587114334,0.30345313265507456
study02_layout_02_heldout_03,study02,study02/study02_p12,DIFF-D00,0.020918922527926043,0.8123457729816437,0.09101379662752151,0.18619184532261243
study02_layout_02_heldout_03,study02,study02/study02_p12,DIFF-D10,0.022503533262351993,0.819742813706398,0.0893586054444313,0.181072658797843
study02_layout_02_heldout_03,study02,study02/study02_p12,DIFF-D01,0.02034585890942253,0.7538079768419266,0.0705701932311058,0.20272435814228718
study02_layout_02_heldout_03,study02,study02/study02_p12,DIFF-D11,0.023405666412145365,0.707126796245575,0.09063756465911865,0.2546872070954458
study02_layout_02_heldout_03,study02,study02/study02_p12,DIFF-D10-SHUFFLED-GEOMETRY,0.020920108290738426,0.8231892287731171,0.08829965442419052,0.18271333234172002
study02_layout_02_heldout_03,study02,study02/study02_p12,DIFF-D01-SHUFFLED-LORA,0.020918922527926043,0.8123457729816437,0.09101379662752151,0.18619184532261243
study02_layout_02_heldout_03,study02,study02/study02_p12,DIFF-D11-SHUFFLED-BOTH,0.020920108290738426,0.8231892287731171,0.08829965442419052,0.18271333234172002
study02_layout_02_heldout_03,study02,study02/study02_p12,DIFF-D10-CAL,0.022503533262351993,0.819742813706398,0.0893586054444313,0.181072658797843
study02_layout_02_heldout_03,study02,study02/study02_p12,DIFF-D01-CAL,0.02034585890942253,0.7538079768419266,0.0705701932311058,0.20272435814228718
study02_layout_02_heldout_03,study02,study02/study02_p12,DIFF-D11-CAL,0.023294616090424825,0.7146296799182892,0.09123948216438293,0.25343939095679296
study02_layout_02_heldout_03,study02,study02/study02_p12,DIFF-D10-SHUFFLED-GEOMETRY-CAL,0.020920108290738426,0.8231892287731171,0.08829965442419052,0.18271333234172002
study02_layout_02_heldout_03,study02,study02/study02_p12,DIFF-D01-SHUFFLED-LORA-CAL,0.020918922527926043,0.8123457729816437,0.09101379662752151,0.18619184532261243
study02_layout_02_heldout_03,study02,study02/study02_p12,DIFF-D11-SHUFFLED-BOTH-CAL,0.020956043044861872,0.8253644406795502,0.08885971456766129,0.18287411547854077
study03_layout_03_heldout_00,study03,study03/study03_p03,RAW,0.0,1.0,0.0,0.0
study03_layout_03_heldout_00,study03,study03/study03_p03,DET-D00,0.04802822635974735,0.6490181386470795,0.11820871382951736,0.3273305582167843
study03_layout_03_heldout_00,study03,study03/study03_p03,DET-D10,0.041533098912623245,0.6456238329410553,0.11547674238681793,0.3432887722714729
