verifier,panel,participant,auroc,identity_margin,rank1,tar_at_far5
B-R,rereference,6,0.6356250000000001,0.02340782154351473,0.55,0.32499999999999996
B-R,rereference,7,0.44806094182825484,-0.006780691153835505,0.2631578947368421,0.07894736842105263
B-R,rereference,8,0.6024930747922438,0.043889103224501014,0.5263157894736842,0.368421052631579
B-R,rereference,9,0.5976454293628808,0.017574114724993706,0.4473684210526315,0.15789473684210525
B-R,rereference,10,0.7548476454293629,0.04289419762790203,0.6578947368421052,0.2631578947368421
B-R,rereference,11,0.6225761772853184,0.015802051639184356,0.39473684210526316,0.13157894736842105
B-R,rereference,12,0.8344875346260388,0.05720769800245762,0.736842105263158,0.368421052631579
B-R,rereference,13,0.6343490304709141,0.024407755583524704,0.42105263157894735,0.05263157894736842
B-R,rereference,14,0.6128808864265928,0.023168445331975818,0.47368421052631576,0.07894736842105263
B-R,rereference,15,0.5263157894736843,0.007512518670409918,0.4473684210526315,0.0
B-R,statistics_only,1,1.0,0.10021457821130753,1.0,1.0
B-R,statistics_only,2,0.9281250000000001,0.06428886577486992,1.0,0.75
B-R,statistics_only,3,0.9383656509695291,0.0525002907961607,0.763157894736842,0.7105263157894737
B-R,statistics_only,4,1.0,0.08464338257908821,1.0,1.0
B-R,statistics_only,5,0.7645429362880886,0.019864843226969242,0.763157894736842,0.5263157894736842
B-R,statistics_only,6,0.26,-0.029055949300527573,0.0,0.0
B-R,statistics_only,7,0.9875346260387812,0.03885298781096935,0.9210526315789473,0.9736842105263157
B-R,statistics_only,8,0.796398891966759,0.043202923610806465,1.0,0.23684210526315788
B-R,statistics_only,9,1.0,0.07498722150921822,1.0,1.0
B-R,statistics_only,10,1.0,0.12834739685058594,1.0,1.0
B-R,statistics_only,11,1.0,0.07983865588903427,1.0,1.0
B-R,statistics_only,12,1.0,0.059781620278954506,1.0,1.0
B-R,statistics_only,13,1.0,0.09792894870042801,1.0,1.0
B-R,statistics_only,14,1.0,0.0664740800857544,1.0,1.0
B-R,statistics_only,15,1.0,0.07908987998962402,1.0,1.0
B-R,wrong_condition_same_subject,1,0.856875,0.07229449972510338,0.85,0.6499999999999999
B-R,wrong_condition_same_subject,2,0.6625,0.037141826935112476,0.5,0.22499999999999998
B-R,wrong_condition_same_subject,3,0.6585872576177285,0.042834664694964886,0.5526315789473684,0.13157894736842105
B-R,wrong_condition_same_subject,4,0.810625,0.07509636133909225,0.8,0.625
B-R,wrong_condition_same_subject,5,0.628808864265928,0.0407995879650116,0.5263157894736842,0.3157894736842105
B-R,wrong_condition_same_subject,6,0.42375,-0.006345457397401333,0.35000000000000003,0.05
B-R,wrong_condition_same_subject,7,0.8968144044321329,0.143720842897892,0.8421052631578947,0.6842105263157894
B-R,wrong_condition_same_subject,8,0.6876731301939059,0.05493255890905857,0.7105263157894737,0.39473684210526316
B-R,wrong_condition_same_subject,9,0.801246537396122,0.07814035378396511,0.6578947368421053,0.34210526315789475
B-R,wrong_condition_same_subject,10,0.881578947368421,0.09907951578497887,0.9210526315789473,0.6842105263157895
B-R,wrong_condition_same_subject,11,0.7853185595567866,0.05048663727939129,0.7894736842105263,0.4473684210526316
B-R,wrong_condition_same_subject,12,0.8448753462603877,0.10603205859661102,0.7105263157894737,0.6052631578947368
B-R,wrong_condition_same_subject,13,0.6606648199445982,0.03997331019490957,0.4736842105263158,0.05263157894736842
B-R,wrong_condition_same_subject,14,0.36634349030470914,-0.026320542845496675,0.13157894736842105,0.02631578947368421
B-R,wrong_condition_same_subject,15,0.7250692520775623,0.05875239125452936,0.6578947368421053,0.23684210526315788
